Q1,Q2,Q3,Q4,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9
0.817795,-0.187608,-0.292468,-0.458777,1.49,2.1,1.42,1.66,1.18,1.11,2.3,1.79,1.52,1.72
0.820173,-0.188098,-0.291142,-0.455162,1.5,2.1,1.42,1.66,1.19,1.12,2.29,1.79,1.51,1.73
0.822688,-0.188906,-0.290335,-0.450782,1.5,2.09,1.42,1.66,1.19,1.12,2.29,1.79,1.51,1.73
0.825461,-0.189117,-0.288696,-0.446658,1.5,2.09,1.42,1.66,1.2,1.12,2.29,1.79,1.51,1.73
0.830058,-0.188581,-0.286046,-0.440021,1.51,2.09,1.42,1.66,1.21,1.12,2.29,1.79,1.51,1.74
0.835336,-0.18823,-0.283496,-0.431755,1.51,2.09,1.43,1.66,1.22,1.13,2.28,1.79,1.51,1.74
0.840591,-0.189183,-0.281592,-0.422283,1.52,2.08,1.43,1.66,1.23,1.13,2.28,1.79,1.5,1.74
0.846516,-0.18846,-0.278621,-0.412632,1.52,2.08,1.44,1.67,1.24,1.13,2.27,1.79,1.5,1.75
0.850552,-0.188464,-0.276221,-0.405886,1.53,2.08,1.44,1.67,1.25,1.13,2.27,1.79,1.5,1.75
0.857121,-0.187648,-0.27184,-0.395266,1.53,2.08,1.45,1.67,1.26,1.14,2.27,1.8,1.5,1.75
0.863285,-0.188288,-0.267016,-0.384694,1.54,2.08,1.46,1.67,1.27,1.14,2.27,1.8,1.5,1.76
0.868414,-0.187812,-0.262524,-0.376385,1.55,2.08,1.46,1.67,1.28,1.14,2.27,1.8,1.5,1.76
0.873015,-0.188017,-0.258797,-0.368129,1.55,2.08,1.46,1.67,1.29,1.14,2.27,1.8,1.5,1.76
0.877741,-0.188197,-0.255012,-0.359334,1.55,2.08,1.47,1.67,1.29,1.15,2.27,1.81,1.5,1.77
0.884273,-0.187879,-0.24947,-0.34717,1.55,2.08,1.47,1.67,1.3,1.15,2.27,1.81,1.5,1.77
0.889091,-0.186935,-0.245822,-0.337851,1.56,2.08,1.48,1.67,1.31,1.15,2.27,1.81,1.5,1.77
0.893297,-0.185252,-0.242302,-0.33014,1.56,2.08,1.48,1.67,1.32,1.15,2.27,1.81,1.5,1.77
0.899397,-0.183286,-0.23695,-0.318349,1.56,2.08,1.48,1.67,1.32,1.15,2.27,1.81,1.5,1.77
0.904337,-0.181994,-0.232503,-0.308215,1.57,2.08,1.48,1.68,1.33,1.15,2.26,1.81,1.5,1.78
0.909446,-0.179776,-0.2276,-0.297973,1.57,2.08,1.49,1.67,1.34,1.15,2.26,1.82,1.49,1.78
0.915266,-0.17705,-0.222494,-0.285372,1.57,2.08,1.49,1.67,1.34,1.15,2.27,1.81,1.5,1.78
0.919541,-0.176032,-0.21889,-0.274853,1.57,2.08,1.5,1.67,1.35,1.15,2.27,1.81,1.49,1.78
0.924284,-0.174315,-0.214767,-0.263036,1.57,2.08,1.5,1.67,1.35,1.15,2.27,1.82,1.49,1.78
0.927253,-0.173232,-0.212274,-0.255212,1.57,2.07,1.5,1.67,1.36,1.15,2.26,1.82,1.49,1.78
0.930683,-0.171781,-0.209534,-0.245796,1.57,2.08,1.5,1.68,1.36,1.15,2.27,1.82,1.49,1.78
0.934351,-0.170391,-0.206927,-0.234813,1.57,2.08,1.51,1.67,1.37,1.15,2.27,1.82,1.49,1.78
0.937001,-0.170093,-0.205095,-0.225906,1.57,2.08,1.51,1.67,1.36,1.15,2.26,1.82,1.49,1.79
0.939716,-0.169202,-0.202482,-0.2175,1.57,2.07,1.51,1.68,1.37,1.15,2.26,1.82,1.49,1.79
0.943889,-0.167116,-0.197724,-0.205062,1.57,2.07,1.51,1.67,1.37,1.15,2.27,1.82,1.49,1.78
